wage,education,sex
5.10,8,female
4.95,9,female
6.67,12,male
4.00,12,male
7.50,12,male
13.07,13,male
4.45,10,male
19.47,12,male
13.28,16,male
8.75,12,male
11.35,12,male
11.50,12,male
6.50,8,male
6.25,9,male
19.98,9,male
7.30,12,male
8.00,7,male
22.20,12,male
3.65,11,male
20.55,12,male
5.71,12,female
7.00,7,male
3.75,12,male
4.50,11,male
9.56,12,male
5.75,6,male
9.36,12,male
6.50,10,male
3.35,12,female
4.75,12,male
8.90,14,male
4.00,12,female
4.70,8,male
5.00,17,female
9.25,12,male
10.67,12,male
7.61,12,male
10.00,12,male
7.50,12,male
12.20,14,male
3.35,12,male
11.00,14,male
12.00,12,male
4.85,9,female
4.30,13,male
6.00,7,female
15.00,16,male
4.85,10,male
9.00,8,male
6.36,12,male
9.15,12,male
11.00,16,male
4.50,12,female
4.80,12,female
4.00,13,male
5.50,12,female
8.40,13,male
6.75,10,male
10.00,12,male
5.00,12,female
6.50,11,male
10.75,12,male
7.00,3,male
11.43,12,male
4.00,12,male
9.00,10,male
13.00,12,male
12.22,12,male
6.28,12,female
6.75,10,male
3.35,11,male
16.00,14,male
5.25,10,male
3.50,8,male
4.22,8,female
3.00,6,female
4.00,11,female
10.00,12,male
5.00,12,male
16.00,12,male
13.98,14,male
13.26,12,male
6.10,10,female
3.75,16,female
9.00,13,male
9.45,12,male
5.50,11,male
8.93,12,female
6.25,12,female
9.75,11,male
6.73,12,male
7.78,12,male
2.85,12,male
3.35,12,female
19.98,12,male
8.50,12,male
9.75,15,female
15.00,12,male
8.00,12,female
11.25,13,male
14.00,11,male
10.00,10,male
6.50,12,male
9.83,12,male
18.50,14,female
12.50,12,male
26.00,14,male
14.00,5,male
10.50,12,male
11.00,8,male
12.47,13,male
12.50,12,male
15.00,12,male
6.00,12,male
9.50,11,male
5.00,16,male
3.75,11,male
12.57,12,male
6.88,8,female
5.50,12,male
7.00,12,male
4.50,12,female
6.50,12,male
12.00,12,male
5.00,12,male
6.50,12,male
6.80,9,female
8.75,13,male
3.75,12,female
4.50,12,male
6.00,12,male
5.50,12,male
13.00,12,male
5.65,14,male
4.80,9,male
7.00,10,male
5.25,12,male
3.35,7,male
8.50,9,male
6.00,12,male
6.75,12,male
8.89,12,male
14.21,11,male
10.78,11,male
8.90,10,male
7.50,12,male
4.50,12,female
11.25,12,male
13.45,12,male
6.00,13,male
4.62,6,female
10.58,14,male
5.00,12,male
8.20,14,male
6.25,12,male
8.50,12,male
24.98,16,male
16.65,14,male
6.25,14,male
4.55,12,female
11.25,12,female
21.25,13,male
12.65,17,female
7.50,12,male
10.25,14,female
3.35,16,male
13.45,16,male
4.84,15,male
26.29,17,male
6.58,12,female
44.50,14,female
15.00,12,male
11.25,16,female
7.00,12,female
10.00,14,male
14.53,16,male
20.00,18,female
22.50,15,male
3.64,12,female
10.62,12,male
24.98,18,male
6.00,16,male
19.00,18,male
13.20,16,male
22.50,16,male
15.00,16,male
6.88,17,female
11.84,12,male
16.14,14,male
13.95,18,female
13.16,12,female
5.30,12,male
4.50,12,female
10.00,18,female
10.00,10,male
10.00,16,male
9.37,16,female
5.80,16,male
17.86,13,male
1.00,12,male
8.80,14,male
9.00,16,male
18.16,17,male
7.81,12,female
10.62,16,female
4.50,12,female
17.25,15,male
10.50,13,female
9.22,14,female
15.00,16,male
22.50,18,male
4.55,13,female
9.00,12,male
13.33,18,male
15.00,14,male
7.50,14,male
4.25,12,female
12.50,12,male
5.13,12,female
3.35,16,female
11.11,12,male
3.84,11,female
6.40,12,female
5.56,14,male
10.00,12,male
5.65,16,female
11.50,16,male
3.50,11,female
3.35,13,female
4.75,12,female
19.98,14,male
3.50,14,female
4.00,12,female
7.00,12,male
6.25,13,female
4.50,14,male
14.29,14,female
5.00,12,female
