City,Region,Country,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Stanford,California,United States,"1,305",8.89%,116,30.88%,3.02,0:04:56,0.00%,0,$0.00
Sunnyvale,California,United States,176,4.55%,8,30.68%,3.26,0:04:42,0.00%,0,$0.00
San Francisco,California,United States,106,16.04%,17,43.40%,2.7,0:03:04,0.00%,0,$0.00
Palo Alto,California,United States,81,14.81%,12,34.57%,3.19,0:04:11,0.00%,0,$0.00
Menlo Park,California,United States,41,12.20%,5,29.27%,3.05,0:04:53,0.00%,0,$0.00
Mountain View,California,United States,33,12.12%,4,69.70%,1.7,0:02:01,0.00%,0,$0.00
Helsinki,(not set),Finland,25,4.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
New York,New York,United States,25,44.00%,11,40.00%,3.76,0:02:26,0.00%,0,$0.00
Redwood City,California,United States,21,19.05%,4,23.81%,2.95,0:05:22,0.00%,0,$0.00
Turku,(not set),Finland,14,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Los Angeles,California,United States,12,8.33%,1,41.67%,2.83,0:01:27,0.00%,0,$0.00
Vantaa,(not set),Finland,7,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Cambridge,Massachusetts,United States,7,57.14%,4,14.29%,11.14,0:13:24,0.00%,0,$0.00
Toronto,Ontario,Canada,6,33.33%,2,16.67%,3.67,0:01:22,0.00%,0,$0.00
Geneva,Geneva,Switzerland,6,66.67%,4,50.00%,4.33,0:01:38,0.00%,0,$0.00
San Mateo,California,United States,6,50.00%,3,33.33%,4.83,0:04:09,0.00%,0,$0.00
Potsdam,Brandenburg,Germany,5,60.00%,3,40.00%,3.4,0:01:53,0.00%,0,$0.00
Bengaluru,Karnataka,India,5,100.00%,5,80.00%,3,0:01:12,0.00%,0,$0.00
Hacienda Heights,California,United States,5,60.00%,3,100.00%,1,0:00:00,0.00%,0,$0.00
San Jose,California,United States,5,100.00%,5,40.00%,5,0:03:48,0.00%,0,$0.00
Chicago,Illinois,United States,5,20.00%,1,20.00%,2.6,0:04:28,0.00%,0,$0.00
Denver,Colorado,United States,4,75.00%,3,50.00%,1.75,0:02:24,0.00%,0,$0.00
Needham,Massachusetts,United States,4,50.00%,2,50.00%,3.75,0:09:29,0.00%,0,$0.00
Los Altos Hills,California,United States,4,50.00%,2,0.00%,5,0:09:47,0.00%,0,$0.00
Hamilton,Ontario,Canada,3,100.00%,3,33.33%,1.67,0:02:56,0.00%,0,$0.00
Las Palmas de Gran Canaria,Canary Islands,Spain,3,33.33%,1,66.67%,2.67,0:00:30,0.00%,0,$0.00
New Haven,Connecticut,United States,3,33.33%,1,0.00%,4,0:02:34,0.00%,0,$0.00
Seminole,Florida,United States,3,33.33%,1,66.67%,1.33,0:00:09,0.00%,0,$0.00
Boston,Massachusetts,United States,3,66.67%,2,33.33%,3,0:00:22,0.00%,0,$0.00
Apex,North Carolina,United States,3,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Redmond,Washington,United States,3,66.67%,2,0.00%,3.33,0:00:33,0.00%,0,$0.00
Hillsborough,California,United States,3,33.33%,1,0.00%,5.33,0:00:34,0.00%,0,$0.00
Sao Paulo,State of Sao Paulo,Brazil,2,50.00%,1,0.00%,2.5,0:01:13,0.00%,0,$0.00
Burlington,Ontario,Canada,2,50.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Berlin,Berlin,Germany,2,100.00%,2,50.00%,2.5,0:00:55,0.00%,0,$0.00
Valencia,Valencian Community,Spain,2,50.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
London,England,United Kingdom,2,100.00%,2,50.00%,3,0:00:11,0.00%,0,$0.00
New Delhi,Delhi,India,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
Seoul,Seoul,South Korea,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
Lisbon,Lisbon,Portugal,2,100.00%,2,50.00%,1.5,0:00:14,0.00%,0,$0.00
Moscow,Moscow,Russia,2,50.00%,1,0.00%,5,0:00:54,0.00%,0,$0.00
Tempe,Arizona,United States,2,100.00%,2,50.00%,2,0:00:17,0.00%,0,$0.00
Berkeley,California,United States,2,50.00%,1,50.00%,5,0:02:07,0.00%,0,$0.00
Cupertino,California,United States,2,100.00%,2,0.00%,3,0:01:08,0.00%,0,$0.00
Merced,California,United States,2,100.00%,2,100.00%,1,0:00:00,0.00%,0,$0.00
Santa Monica,California,United States,2,50.00%,1,0.00%,3,0:07:10,0.00%,0,$0.00
Kansas City,Missouri,United States,2,0.00%,0,50.00%,1.5,0:05:41,0.00%,0,$0.00
Chapel Hill,North Carolina,United States,2,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Batavia,New York,United States,2,100.00%,2,0.00%,11.5,0:01:31,0.00%,0,$0.00
Pittsburgh,Pennsylvania,United States,2,50.00%,1,50.00%,4,0:10:57,0.00%,0,$0.00
Dallas,Texas,United States,2,50.00%,1,50.00%,4,0:05:13,0.00%,0,$0.00
Houston,Texas,United States,2,100.00%,2,50.00%,1.5,0:00:19,0.00%,0,$0.00
Bay Lake,Florida,United States,2,0.00%,0,0.00%,9.5,0:11:28,0.00%,0,$0.00
Foster City,California,United States,2,0.00%,0,0.00%,3,0:14:47,0.00%,0,$0.00
Guilford,Connecticut,United States,2,0.00%,0,50.00%,3,0:05:33,0.00%,0,$0.00
Mirrormont,Washington,United States,2,50.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
(not set),Taipei City,Taiwan,1,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Buenos Aires,Autonomous City of Buenos Aires,Argentina,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Sydney,New South Wales,Australia,1,100.00%,1,0.00%,5,0:00:57,0.00%,0,$0.00
Anderlecht,Brussels,Belgium,1,100.00%,1,0.00%,3,0:19:24,0.00%,0,$0.00
Brussels,Brussels,Belgium,1,100.00%,1,0.00%,2,0:00:42,0.00%,0,$0.00
Leuven,Flemish Brabant,Belgium,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Fortaleza,State of Ceara,Brazil,1,100.00%,1,0.00%,8,0:05:28,0.00%,0,$0.00
Canoas,State of Rio Grande do Sul,Brazil,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Edson,Alberta,Canada,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Stratford,Ontario,Canada,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Beijing,Beijing,China,1,100.00%,1,0.00%,8,0:07:07,0.00%,0,$0.00
Bucaramanga,Santander Department,Colombia,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Frankfurt,Hesse,Germany,1,100.00%,1,0.00%,3,0:02:58,0.00%,0,$0.00
Sangerhausen,Saxony-Anhalt,Germany,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Copenhagen,Capital Region of Denmark,Denmark,1,100.00%,1,0.00%,2,0:01:24,0.00%,0,$0.00
L'Hospitalet de Llobregat,Catalonia,Spain,1,100.00%,1,0.00%,2,0:00:37,0.00%,0,$0.00
Tampere,(not set),Finland,1,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Barnsley,England,United Kingdom,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Derby,England,United Kingdom,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Hong Kong,(not set),Hong Kong,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Hyderabad,Telangana,India,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Mumbai,Maharashtra,India,1,100.00%,1,0.00%,2,0:00:37,0.00%,0,$0.00
Lucknow,Uttar Pradesh,India,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Kolkata,West Bengal,India,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Reykjavik,(not set),Iceland,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Milan,Lombardy,Italy,1,100.00%,1,0.00%,2,0:00:23,0.00%,0,$0.00
Jeju-si,Jeju-do,South Korea,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Amsterdam,North Holland,Netherlands,1,100.00%,1,0.00%,6,0:01:24,0.00%,0,$0.00
Oslo,Oslo,Norway,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Auckland,Auckland,New Zealand,1,100.00%,1,0.00%,4,0:02:47,0.00%,0,$0.00
Lower Hutt,Wellington,New Zealand,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Almada,Setubal,Portugal,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Targoviste,Dambovita County,Romania,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Stockholm,Stockholm County,Sweden,1,0.00%,0,0.00%,2,0:00:05,0.00%,0,$0.00
Istanbul,Istanbul,Turkey,1,0.00%,0,0.00%,6,0:01:32,0.00%,0,$0.00
Tuscaloosa,Alabama,United States,1,100.00%,1,0.00%,3,0:01:16,0.00%,0,$0.00
Little Rock,Arkansas,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Carson,California,United States,1,100.00%,1,0.00%,2,0:00:35,0.00%,0,$0.00
Elk Grove,California,United States,1,0.00%,0,0.00%,9,0:13:23,0.00%,0,$0.00
Glendale,California,United States,1,100.00%,1,0.00%,3,0:00:22,0.00%,0,$0.00
Oakland,California,United States,1,100.00%,1,0.00%,4,0:01:47,0.00%,0,$0.00
San Diego,California,United States,1,100.00%,1,0.00%,19,0:02:19,0.00%,0,$0.00
South San Francisco,California,United States,1,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Colorado Springs,Colorado,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Washington,District of Columbia,United States,1,100.00%,1,0.00%,2,0:00:07,0.00%,0,$0.00
St. Petersburg,Florida,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Moultrie,Georgia,United States,1,100.00%,1,0.00%,5,0:00:48,0.00%,0,$0.00
Evanston,Illinois,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Schaumburg,Illinois,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Shreveport,Louisiana,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Bedford,Massachusetts,United States,1,100.00%,1,0.00%,2,0:00:19,0.00%,0,$0.00
Dedham,Massachusetts,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Waltham,Massachusetts,United States,1,100.00%,1,0.00%,2,0:00:16,0.00%,0,$0.00
Worcester,Massachusetts,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Elkridge,Maryland,United States,1,100.00%,1,0.00%,3,0:10:43,0.00%,0,$0.00
Taneytown,Maryland,United States,1,0.00%,0,100.00%,1,0:00:00,0.00%,0,$0.00
Rolla,Missouri,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
St. Louis,Missouri,United States,1,100.00%,1,0.00%,13,0:02:00,0.00%,0,$0.00
Ahoskie,North Carolina,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Carrboro,North Carolina,United States,1,100.00%,1,0.00%,3,0:41:51,0.00%,0,$0.00
Greensboro,North Carolina,United States,1,0.00%,0,0.00%,3,0:03:16,0.00%,0,$0.00
Wilmington,North Carolina,United States,1,100.00%,1,0.00%,3,0:01:48,0.00%,0,$0.00
Manchester,New Hampshire,United States,1,100.00%,1,0.00%,3,0:20:59,0.00%,0,$0.00
Hamilton,New York,United States,1,100.00%,1,0.00%,5,0:00:49,0.00%,0,$0.00
Youngstown,Ohio,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Portland,Oregon,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Philadelphia,Pennsylvania,United States,1,100.00%,1,0.00%,5,0:02:25,0.00%,0,$0.00
State College,Pennsylvania,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Wilkes-Barre,Pennsylvania,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Brookings,South Dakota,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Spearfish,South Dakota,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Lubbock,Texas,United States,1,100.00%,1,0.00%,5,0:05:04,0.00%,0,$0.00
Richardson,Texas,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Midvale,Utah,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Bellevue,Washington,United States,1,100.00%,1,0.00%,2,0:00:05,0.00%,0,$0.00
Seattle,Washington,United States,1,100.00%,1,0.00%,2,0:00:27,0.00%,0,$0.00
Madison,Wisconsin,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Milwaukee,Wisconsin,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Sandton,Gauteng,South Africa,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Sahibzada Ajit Singh Nagar,Punjab,India,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
River Ridge,Louisiana,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
Vineyard,California,United States,1,100.00%,1,100.00%,1,0:00:00,0.00%,0,$0.00
